IDENTIFICADOR,GRUPO,DISPOSITIVO,TIPO,OBJETIVO2,Tipo_bloqueo,NOMBRE NETWITNESS,RESPONSABLE,Monitoreo,status2,Fecha alta/ajuste,Fecha puesta en produccion,MITRE ATT&CK,D3FEND_EXCLUIDO,D3FEND_INFERIDO,Severidad,Escalamiento,ENVIO.HO,FUENTES,Fecha ultima validacion,Habilitado,Motivo deshabilitacion,Comentarios,Regla completa,Descripcion funcional
[AUT][Public IP]CU138_F5_iControl_REST_Suspicious_Access,WEB,F5-ASM,P.Perimetral,Detecta accesos HTTP hacia /mgmt (iControl REST) en F5 desde IPs no internas (whitelist/private).,,[AUT][Public IP]CU138_F5_iControl_REST_Suspicious_Access,ICBC,"actor de interes: ip.src, web.page",Producción,2025-10-17,2025-10-17,"T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,,,,,Si,,,"module CU138_F5_iControl_REST_Suspicious_Access;

@Name('[AUT][Public IP]CU138_F5_iControl_REST_Suspicious_Access')
@Description('Detecta accesos HTTP hacia /mgmt (iControl REST) en F5 desde IPs no internas (whitelist/private). MITRE T1190.')
@RSAAlert(oneInSeconds=900, identifiers={""ip_src""})

SELECT * FROM Event(
    device_type.toLowerCase() = 'f5_asm'
    AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist','whitelist','ip private'))
    AND (org_src IS NULL OR org_src.toLowerCase() NOT IN ('microsoft corporation'))
    AND (isOneOfIgnoreCase(direction,{ 'inbound' }))
    AND web_page IS NOT NULL
    AND web_page.toLowerCase() LIKE '%/mgmt%'

)
.std:groupwin(ip_src)
.win:time_length_batch(10 Minutes, 50)
GROUP BY ip_src
HAVING COUNT(*) >= 2;","Detecta accesos HTTP hacia /mgmt (iControl REST) en F5 desde IPs no internas (whitelist/private). 
MITRE T1190.
D3-NTA, D3-NTSA, D3-UA"
[AUT][Public IP]CU139_CHECKPOINT_iControl_REST_Suspicious_Access,FIREWALLS,Checkpoint,P.Perimetral,Detecta accesos HTTP hacia /mgmt (iControl REST) desde IPs no internas (whitelist/private).,,[AUT][Public IP]CU139_CHECKPOINT_iControl_REST_Suspicious_Access,ICBC,"actor de interes: ip.src, url",Producción,2025-10-17,2025-10-17,T1190 - Exploit Public-Facing Application,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,AUT,,,,Si,,,"module CU139_Checkpoint_iControl_REST_Suspicious_Access;

@Name('[AUT][Public IP]CU139_Checkpoint_iControl_REST_Suspicious_Access')
@Description('Detecta accesos HTTP hacia /mgmt (iControl REST) desde IPs no internas (whitelist/private). MITRE T1190.')
@RSAAlert(oneInSeconds=900, identifiers={ ""ip_src"" })


SELECT * FROM Event (
        (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
        AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))
        AND
        device_class.toLowerCase()  = 'firewall'
        AND
        isOneOfIgnoreCase(alias_host,{ 'cn\\=f-mtz-sf1-web-cp','cn\\=f-sky-drp-web-cp' }) 
        AND
        (url.toLowerCase() LIKE '%/mgmt%')  
    )
    .std:groupwin(ip_src)
    .win:time_length_batch(10 minutes, 50)
GROUP BY ip_src
HAVING count(*) >= 2;","Detecta accesos HTTP hacia /mgmt (iControl REST) desde IPs no internas (whitelist/private). 
MITRE T1190.
D3-NTA, D3-NTSA, D3-UA"
CU001_Unhandled_Threat,ENDPOINTS,ANTIVIRUS,P.Interna,"Detectar cuando existe un evento en donde ambos status de accion es ""Error"" y adicionalmente corrobora ""threat.handled=false""",,CU001_Unhandled_Threat,ICBC-NOVA,Evaluar,Producción,,2023-01-01,T1588.001 - Malware,,,High,IRT,Sí,,,Si,,,"module Module_Unhandled_Threat;

        @Name('Module_Unhandled_Threat')
        @Description('')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(
          	first_status.toLowerCase() IN ( 'error' ) 
			AND 
			second_status.toLowerCase() IN ( 'error' ) 
			AND 
			threat_handled.toLowerCase() IN ( 'false' )
                        AND
                        (context IS  NULL  OR  isNotOneOfIgnoreCase(context,{ 'local user administrator' }))
                    
                     
        );","Detecta cuando existe un evento en donde ambos status de accion son ""Error"" (primera accion y segunda accion) y en donde adicionalmente tenemos un metadato ""threat.handled=false"""
CU005_Vertical_Port_Scan,FIREWALLS,CHECKPOINT-NETSCREEN,P.Perimetral,Detección de escaneo vertical con intenciones de reconocimiento hacia un rango de IP para un sólo puerto,,CU005_Vertical_Port_Scan,,,Producción,,2020-09-11,"T1046 - Network Service Discovery, T1595 - Active Scanning",,,Medium,IRT,Sí,,,Si,,,"module CU005_RL_MPSM_FIREWALL_v01;

@Name('CU005_RL_MPSM_FIREWALL_v01_Alert')

@RSAAlert(oneInSeconds=300, identifiers={""ip_src"", ""ip_dst""})


SELECT * FROM 
	Event (
                (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
                AND
                device_class.toLowerCase()  = 'firewall'
		AND 
                (isOneOfIgnoreCase(direction,{ 'inbound' }))
		AND
		ip_srcport NOT IN ( 53 )
		AND
		ip_src IS NOT NULL
		AND
		ip_dst IS NOT NULL
		AND
		ip_dstport IS NOT NULL
	).std:groupwin(ip_src, ip_dst)
		.std:unique(ip_dstport)
		.win:time(5 minutes)
		GROUP BY ip_src, ip_dst 
		HAVING count(ip_dstport) = 20
	;","title: 'Escaneo vertical detectado'
id: ae2ef3bf-6118-464b-bb5d-9ce3e722b1cb
status: testing
description:  'Detección de escaneo horizontal con intenciones de reconocimiento hacia un rango de puertos conocidos para una misma IP'
author: SOC-ICBC
date: 2020/09/11
tags:
- attack.descubrimiento
- attack.escaneo_de_servicios_de_red
- attack.ta0007
- attack.t1046
- rl.mpms.firewall.juniper"
CU006_Horizontal_Port_Scan,FIREWALLS,CHECKPOINT-NETSCREEN,P.Perimetral,Detección de escaneo horizontal con intenciones de reconocimiento hacia un rango de puertos conocidos para una misma IP,,CU006_Horizontal_Port_Scan,,,Producción,,2020-09-16,"T1046 - Network Service Discovery, T1595 - Active Scanning",,,Medium,IRT,Sí,,,Si,,,"module CU006_RL_MPSM_FIREWALL_v01;

@Name('CU006_RL_MPSM_FIREWALL_v01_Alert')

@RSAAlert(oneInSeconds=${module_suppress?c}, identifiers={""ip_src""})

<#if module_debug>@Audit('stream')</#if>

SELECT * FROM 
	Event (

                (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
                AND
                device_class.toLowerCase()  = 'firewall'
		AND 
                (isOneOfIgnoreCase(direction,{ 'inbound' }))
		AND
		ip_src IS NOT NULL
		AND
		ip_dst IS NOT NULL
		AND
		(ip_dstport IS NOT NULL
OR tcp_dstport IS NOT NULL
OR udp_dstport IS NOT NULL)
	).std:unique(ip_dst)
	.win:time_batch(30 minutes) 
	GROUP BY ip_src, ip_dstport, tcp_dstport, udp_dstport
	HAVING count(ip_dst) >= 50
	for grouped_delivery (ip_src);","action: global
title: 'Escaneo horizontal detectado'
id: 840d3da6-e862-41b1-8d65-703940c99429
status: testing
description:  description:  'Detección de escaneo vertical con intenciones de reconocimiento hacia un rango de IP para un sólo puerto'
author: SOC-ICBC
date: 2020/09/16
tags:
- attack.descubrimiento
- attack.escaneo_de_servicios_de_red
- attack.ta0007
- attack.t1046
- rl.mpms.firewall.juniper
---
logsource:
  product: firewall
  category: juniper
detection:
  condition: fuente1 and count(ORIG_IP) = 1 and count(IP.DST) > 50 and EVENT.TIME < 30m
  fuente1:
    DEVICE.TYPE:
      - checkpointfw1
      - netscreen
  iporigen:
    ORIG_IP: ORIG_IP
  ipDest:
    IP.DST: IP.DST
  ipdestino:
    destinationip:
  timeframe: 30m
fields:
    - IP.DST
    - ORIG_IP
    - EVENT.TIME
falsepositives:
  - unknown
level: medium"
CU025_DPAPI_attributes_accessed,AD,WINDOWS,P.Interna,"Detecta escenarios en los que un atacante intenta extraer informacion sensible de DPAPI de Active Directory (la herramienta PowerShell de RiskySPN, DCSync y Mimikatz tambien pueden activar esta regla)",Manual,CU025_DPAPI_attributes_accessed,,,Producción,,2022-01-01,"T1003 - OS Credential Dumping, T1003.006 - DCSync, T1550 - Use Alternate Authentication Material, T1555 - Credentials from Password Stores, T1555.004 - Windows Credential Manager",,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PLA - Process Lineage Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSMD - Process Self-Modification Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,IRT,Sí,winevent_nic,,Si,,,"module Module_CU025_RL_SPSM_WINDOWS;

@Name('Module_CU025_RL_SPSM_WINDOWS_Alert')


@RSAAlert

SELECT * FROM
Event(
device_type='winevent_nic'
AND
reference_id='4662'
AND
	(
	obj_type.toLowerCase() LIKE  '%612cb747-c0e8-4f92-9221-fdd5f15b550d%' 
	OR
	obj_type.toLowerCase() LIKE  '%6617e4ac-a2f1-43ab-b60c-11fbd1facf05%'
	OR
	obj_type.toLowerCase() LIKE  '%b3f93023-9239-4f7c-b99c-6745d87adbc2%'
	OR
	obj_type.toLowerCase() LIKE  '%b7ff5a38-0818-42b0-8110-d3d154c97f24%'
	OR
	obj_type.toLowerCase() LIKE  '%b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7%'
	OR
	obj_type.toLowerCase() LIKE '%91e647de-d96f-4b70-9557-d63ff4f3ccd8%'
	)
AND
user_dst is NOT NULL
AND 
user_dst.toLowerCase() NOT LIKE '%$%'

).std:groupwin(user_dst)
.win:time_batch(30 minutes)
group by user_dst
having count(distinct obj_type) > 5;","title: Suspicious Active Directory DPAPI attributes accessed (Mimikatz, DCSync, RiskySPN)
id: 3f2794d1-d46f-59d0-b5f0-27b100a07019
status: testing
description: Detecta escenarios en los que un atacante intenta extraer informacion sensible de DPAPI de Active Directory (la herramienta PowerShell de RiskySPN, DCSync y Mimikatz tambien pueden activar esta regla).
author: SOC_Novared
date: 2022/01/17
tags:
- attack.lateral.movement
- attack.use.alternate.authentication.material
- attack.TA0008
- attack.T1550
- rl.spsm.windows
logsource:
    product: windows
    service: security
detection:
    selection:
        reference.id: 4662 # Se ha realizado una operacion en un objeto
        obj.type|contains:
            - 612cb747-c0e8-4f92-9221-fdd5f15b550d # unixUserPassword
            - 6617e4ac-a2f1-43ab-b60c-11fbd1facf05 # ms-PKI-RoamingTimeStamp / Indica la hora de la ultima sincronización
            - b3f93023-9239-4f7c-b99c-6745d87adbc2 # ms-PKI-DPAPIMasterKeys / Almacena las claves maestras de la DPAPI. Estas claves simetricas encriptan las claves privadas y estan ellas mismas encriptadas.
            - b7ff5a38-0818-42b0-8110-d3d154c97f24 # ms-PKI-Credential-Roaming-Tokens
            - b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7 # ms-PKI-AccountCredentials / Almacena certificados, solicitudes de firma de certificados, claves privadas y contraseñas guardadas.
            - 91e647de-d96f-4b70-9557-d63ff4f3ccd8 # Private-Information
    filter:
        user.dst|ends: '$'
    condition: 1 of selection and not filter | count(ObjectName) > 5 # contar la cantidad de objetos diferentes de AD que informan del acceso a DPAPI
    timeframe: 30m

falsepositives:
    - Active Directory Backup solutions
level: high"
CU045_CITRIX_Impossible_Travel,CITRIX_ADC,CITRIX-NETSCALER,P.Perimetral,Detección de posible actividad de geolocalización inesperada en otra región en menos de 1 hora,,CU045_CITRIX_Impossible_Travel,,,Producción,,2021-02-23,T1078 - Valid Accounts,,,High,IRT,Sí,citrixns,,Si,,,"module CU045_CITRIX_Impossible_Travel;

@Name('CU045_CITRIX_Impossible_Travel')
@Description('Detección de posible actividad de geolocalización inesperada en otra región en menos de 1 hora')
@RSAAlert(identifiers={""user_dst""})

SELECT * FROM PATTERN [

	every-distinct(user_dst, 60 Minutes)
	(
	e1=Event(
		user_dst IS NOT NULL
		AND country_src IS NOT NULL
		AND (
			ip_src_type IS NULL
			OR
			ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'vdi','red vlan usuarios madero office','whitelist', 'ip private')
		)
		AND device_type IN ('citrixns')
		AND msg_id.toLowerCase() IN ('sslvpn_login_custom')
		AND event_cat_name.toLowerCase() IN ('user.activity.successful logins')
		AND isOneOfIgnoreCase(direction,{ 'inbound' })
        AND (isNotOneOfIgnoreCase(context,{'excepción-icbc'}) OR context IS NULL)
        AND NOT (
		sslvpn_ctype.toLowerCase() LIKE '%android%'
		OR
		sslvpn_ctype.toLowerCase() LIKE '%ios%'
                OR
                sslvpn_ctype.toLowerCase() LIKE '%ica%'
		)
	)

	->

	e2=Event(
		user_dst IS NOT NULL
		AND (
			ip_src_type IS NULL
			OR
			ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'vdi','red vlan usuarios madero office','whitelist', 'ip private')
		)
		AND country_src IS NOT NULL
		AND device_type IN ('citrixns')
		AND msg_id.toLowerCase() IN ('sslvpn_login_custom')
		AND event_cat_name.toLowerCase() IN ('user.activity.successful logins')
		AND isOneOfIgnoreCase(direction,{ 'inbound' })
		AND user_dst.toLowerCase() = e1.user_dst.toLowerCase()
		AND country_src.toLowerCase() IS NOT e1.country_src.toLowerCase()
		AND user_agent.firstOf().toString() IS NOT e1.user_agent.firstOf().toString()
		AND NOT (
		sslvpn_ctype.toLowerCase() LIKE '%android%'
	    OR
		sslvpn_ctype.toLowerCase() LIKE '%ios%'
            OR
                sslvpn_ctype.toLowerCase() LIKE '%ica%'
		)
	)
)
WHERE timer:within(60 Minutes)
]","CU45-RL-SPSM-CITRIX-NETSCALER-Impossible Travel to atypical locations leading to suspected credential theft activity-v1.0.
Detección de posible actividad de geolocalización inesperada en otra región en menos de 1 hora.

author: \""SOC ICBC\""
status: Testing
date: 2021/02/23
tags:
- attack.initial_access
- attack.valid_accounts
- attack.TA0001
- attack.T1078'"
CU049_Login_over_Tor_network,CITRIX_ADC,CITRIX-NETSCALER,P.Perimetral,Detección de inicio de sesión en VPN/VDI dentro de una red Tor,,CU049_Login_over_Tor_network,ICBC-NOVA,"Alerta,   manejar como los casos de VPN Actor de interes:",Producción,2021-02-23,,T1090 - Proxy,,,High,IRT,1.0,,,Si,,,,
CU056_Multiple_critical_port_scan,ENDPOINTS,ANTIVIRUS,P.Interna,Detección de multiples eventos de categoría crítica desde un mismo host con un evento de escaneo de puertos Horizontal/vertical,Manual,CU056_Multiple_critical_port_scan,ICBC-NOVA,Alerta: complementar con todos los datos realacionado a los actores de interes  Actor de interes:,Producción,,2020-07-26,"T1569 - System Services, T1595 - Active Scanning",,,High,IRT,Sí,epolicy,,Si,,,"module Module_CU056;
	
@Name('Module_CU056_Alert')
@Description('Detección de multiples eventos de categoría crítica desde un mismo host con un evento de escaneo de puertos Horizontal/vertical')
@RSAAlert(oneInSeconds=0)

SELECT * FROM PATTERN [ 
	every-distinct(host_dst.firstOf(), 60 Minutes)
	
	e1=Event(
		device_type.toLowerCase() IN ( 'epolicy' ) 
		AND host_dst IS NOT NULL 
		AND severity_name.toLowerCase() IN ( 'high' ) 
		AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ( 'ip_whitelist' ))
		)
		
	->
	
	e2=Event(
		device_type.toLowerCase() IN ( 'epolicy' ) 
		AND host_dst IS NOT NULL 
		AND severity_name.toLowerCase() IN ( 'high' )
                AND host_dst.firstOf() = e1.host_dst.firstOf()
		AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ( 'ip_whitelist' ))
	)
	
	->
	
	e3=Event(
		device_type.toLowerCase() IN ( 'rsa_netwitness_esa' )
		AND ( 
			event_desc = 'CU005_Vertical_Port_Scan'
			OR
			event_desc = 'CU006_Horizontal_Port_Scan'
		)
		AND ip_src = e2.ip_dst
	)

	where timer:within(60 Minutes)
];","action: global
title: 'Multiple critical detection with port scan detected on host''
id: de3279eb-6b12-4c1c-a657-da483ce9890c
status: testing 
description:  'Detección de multiples eventos de categoría crítica desde un mismo host con un evento de escaneo de puertos Horizontal/vertical'
author: SOC-ICBC
date: 2020/07/26
tags:
- attack.execution
- attack.system.services
- attack.ta0002
- attack.t1569
- rl.mpsm.antivirus.epo"
CU057_Multiple_critical_detection,ENDPOINTS,ANTIVIRUS,P.Interna,Multiples eventos de severidad critica ePO en un tiempo determinado,Manual,CU057_Multiple_critical_detection,,,Producción,,2020-07-26,"T1569 - System Services, T1569.001 - Launchctl, T1569.002 - Service Execution, T1569.003 - Systemctl",,,Critical,IRT,Sí,epolicy,,Si,,,"module Module_CU057;

@Name('Module_CU057_Alert')
@UsesEnrichment(name=""WL_powershell_scripts"")
@UsesEnrichment(name=""WL_powershell_users"")
@UsesEnrichment(name=""WL_filehash"")
@Description('Multiples eventos de severidad critica ePO en un tiempo determinado')
@RSAAlert(oneInSeconds=0)

SELECT * FROM
Event(
		device_type.toLowerCase() IN ('epolicy')
		AND severity_name.toLowerCase() IN ('high')
                AND threat_handled.toLowerCase() IN ('false')
		AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip_whitelist'))
		AND NOT EXISTS (SELECT * FROM WL_powershell_scripts WHERE Event.src_desc_cmd.toLowerCase().contains(LIST.toLowerCase()))
		AND NOT EXISTS (SELECT * FROM WL_powershell_users WHERE (LIST.toLowerCase() = Event.user_src.toLowerCase()))
		AND NOT EXISTS (SELECT * FROM WL_filehash WHERE (LIST.toLowerCase() = Event.checksum.firstOf().toString().toLowerCase()))
		AND NOT EXISTS (SELECT * FROM WL_filehash WHERE (LIST.toLowerCase() = Event.checksum_dst.firstOf().toString().toLowerCase()))
		AND NOT EXISTS (SELECT * FROM WL_filehash WHERE (LIST.toLowerCase() = Event.checksum_src.firstOf().toString().toLowerCase()))

).std:groupwin(host_dst.firstOf())
.win:time_length_batch(60 minutes, 2)
group by host_dst.firstOf()
having count(*) >= 2;","action: global
title: 'Multiple Critical detection on host'
id: cc334efa-f9ba-4513-ad7f-3a1989f4c51a
status: testing
description:  'Multiples eventos de severidad critica ePO en un tiempo determinado'
author: SOC-ICBC
date: 2020/07/26
tags:
- attack.execution
- attack.system.services
- attack.ta0002
- attack.t1569
- rl.mpsm.antivirus.epo"
CU062_Abnormal_attempt_code_DC,AD,WINDOWS,P.Interna,Valida códigos de error poco comunes en inicios de sesión fallidos para determinar actividad sospechosa desde AD,Manual,CU062_Abnormal_attempt_code_DC,,,Producción,,2021-08-30,"T1068 - Exploitation for Privilege Escalation, T1087 - Account Discovery",,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,Medium,IRT,Sí,winevent_nic,,Si,,,"module CU062_RL_SPSM_WINDOWS;
    
@Name('CU062_RL_SPSM_WINDOWS_Alert')
@Description('')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
						(
							nsoc_id IN ( 'nsoc1010' ) 
							AND 
							(cast(host_src, string).toLowerCase() LIKE '%arpads%')
						)
					)
.std:groupwin(user_dst , host_src)
.win:time_length_batch(60 Minutes, 3)
GROUP BY user_dst , host_src
HAVING COUNT(*) >= 3;","action: global
title: 'Uncommon error codes for failed logins by Domain Controller'
id: db261ff2-324b-4c03-8475-f968116cb57e
status: testing
description: 'Valida códigos de error poco comunes en inicios de sesión fallidos para determinar actividad sospechosa desde AD'
author: SOC-ICBC
date: 2021/08/30
tags:
- attack.privilege_escalation
- attack.exploitation_for_privilege_escalation
- attack.ta0004
- attack.T1068
- rl.spsm.windows.dc
- esa.rule
logsource:
  product: windows
  category: dc
detection:
  condition:
  - source AND NOT userfilterx AND detectidx AND codex AND NOT lists AND hostx | count(user.dst) by hostx > 2 | timeframe 1h
  # (nsoc.cust = 'cu10_rl_spsm_windows') | count(user.dst) by hostx > 2 | timeframe 1h"
CU063_Abnormal_attempt_Code,AD,WINDOWS,P.Interna,Valida códigos de error poco comunes en inicios de sesión fallidos para determinar actividad sospechosa desde un HOST,,CU063_Abnormal_attempt_Code,ICBC-NOVA,Alerta: complementar con todos los datos realacionado a los actores de interes  Actor de interes:,Producción,,2021-09-14,T1087 - Account Discovery,,,Medium,IRT,1.0,,,Si,,,,
CU080_AD_Multiples_login_failure_single_source,AD,WINDOWS,P.Interna,Detectar multiples login fallidos de multiples usuarios desde un mismo origen,,CU080_AD_Multiples_login_failure_single_source,,Alerta: Multiples autenticaciones fallidas del mismo usuario a distintos destinos,Producción,,2026-05-01,"T1010 - Application Window Discovery, T1110 - Brute Force, T1110.003 - Password Spraying",,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CCSA - Credential Compromise Scope Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,IRT,,winevent_nic,,Si,,,"@Name('CU080_AD_Multiples_login_failure_single_source')
@Description('Detectar multiples login fallidos de multiples usuarios desde un mismo origen.')
@RSAAlert(oneInSeconds=1800, identifiers={""host_src""})
SELECT * FROM Event(
    device_type.toLowerCase() = 'winevent_nic'
    AND reference_id = '4625'
    AND device_host IS NOT NULL
    AND ec_activity.toLowerCase() = 'logon'
    AND ec_theme.toLowerCase() = 'authentication'
    AND ec_outcome.toLowerCase() = 'failure'
    AND user_dst IS NOT NULL
    AND user_dst NOT LIKE '%$%'
    AND ip_src IS NOT NULL
    AND result_code IS NOT NULL
    AND isOneOfIgnoreCase(context,{ '0xc000006a' })
    AND ip_src_desc.toLowerCase() NOT IN ( 'nexpose scanner icbc' )
    AND ip_src NOT IN ( '10.214.144.77' )
    AND ip_src NOT IN ( '123.176.20.133' )
)
.win:time_length_batch(10 minutes, 20)
GROUP BY ip_src
HAVING COUNT(DISTINCT user_dst) >= 10;","Detectar multiples login fallidos de multiples usuarios desde un mismo origen. Relacionado con password spraying
- Actividad relacionada con password spraying.
- Incluir substatus '0xc000006a' para incluir eventos de bad password.
- Excluir  'nexpose scanner icbc', '10.214.144.77'"
CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,AD,WINDOWS,P.Interna,Detecta multiples autenticaciones falidas de usuarios en el grupo PSONLOUsers,,CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,,Alerta: Multiples autenticaciones faillidas de usuarios en el grupo PSONLOUsers,Producción,,2020-01-01,T1110 - Brute Force,,,High,IRT,Sí,,,Si,,,"module Module_Seg_2_4;

@Name('Module_Seg_2_4_Alert')
@Description('Detects when log events that contain multiple failed login events with unique usernames from group PSO_NLO Users occur within the specified time period. The time period is 120 seconds and number of failed logins 3.')
@RSAAlert(oneInSeconds=3600, identifiers={""user_dst""})

SELECT * FROM 
	Event(
		medium = 32
		AND
		device_type.toLowerCase() = 'winevent_nic'
		AND
		ec_activity.toLowerCase() = 'logon' 
		AND
		ec_theme.toLowerCase() = 'authentication'
		AND
		ec_outcome.toLowerCase() = 'failure'
		AND
		user_dst IS NOT NULL
		AND 
            NOT ( 
				user_dst.toLowerCase() = 'wyse8021@ardp.local'
				OR
				user_dst.toLowerCase() = 'wysec00x'
                                OR
                                user_dst.toLowerCase() = 'sj210526'
             )  
		AND
		user_group IS NOT NULL
		AND
		user_group.toLowerCase() = 'pso_nlo users'
	).win:time(120 seconds) group by user_dst having count(*) = 3 output first every 120 seconds;","Condiciones de Detección:
-             Plataforma monitoreada: Windows
-             Tipo de eventos: Múltiples login fallidos de un único usuario perteneciente al grupo 'PSO_NLO Users'
-             Umbral de detección: 3 eventos en 2 minutos."
CU082_Inconveniente_de_almacenamiento_de_auditoria_local,AD,WINDOWS,P.Interna,Detecta inconvenientes de almacenamietno de auditoria local,,CU082_Inconveniente_de_almacenamiento_de_auditoria_local,,Alerta: Inconveniente de almacenamietno de auditoria local,Producción,,2020-01-01,T1070 - Indicator Removal,,,Low,NC,,,,Si,,,"module Module_Seg_2_6;

@Name('Module_Seg_2_6_Alert')
@Description('Alerta eventos sensibles de seguridad de Windows')
@RSAAlert(oneInSeconds=3600, identifiers={""event_computer""})

SELECT * FROM Event(
	(device_type.toLowerCase() IN ( 'winevent_nic' ) 
        AND 
        event_source.toLowerCase() IN ( 'microsoft-windows-eventlog' ) 
        AND 
        reference_id IN ( '1101', '1104' ))
);",Alerta eventos sensibles de seguridad de Windows
CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,ENDPOINTS,EDR,P.Interna,"Deteccion en Trellix EDR de al menos uno de los tags: 
 @msi._process_reputation_most_likely_malicious o 
 @msi._process_reputation_known_malicious
 son indicadores generados por el sistema para clasificar y alertar sobre procesos sospechosos o maliciosos en función de su reputación y comportamiento.",,CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,ICBC-NOVA,Alerta: Deteccion de tag EDR,Producción,,2022-01-01,T1587.001 - Malware,,,High,IRT,Sí,trellix_edr,,Si,,,"/*
	This basic template is a placeholder for defining basic EPL content that can be
	installed and executed in ESA. The sample below is the minimum that would be 
	required to get started.
	
	Version:  4.0
*/


/*
Module debug section. If this is empty then debugging is off.
*/

/* EPL section. If there is no text here it means there were no statements. */

    module Module_64d52f3b45ce326287cd43b1;
	


		
        
        @Name('Module_64d52f3b45ce326287cd43b1_Alert')
        @Description('Deteccion en Trellix EDR de al menos uno de los tags:
@msi._process_reputation_most_likely_malicious
@msi._process_reputation_known_malicious')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(
            /* Statement: Deteccion de tag */
            (device_type.toLowerCase() IN ( 'trellix_edr' ) AND isOneOfIgnoreCase(param,{ '@msi._process_reputation_known_malicious' , '@msi._process_reputation_most_likely_malicious' }))
            
        )
        
        
        
        ;",
