fila,identificador,attack_anterior,attack_candidato,attack_explicit_en_regla_doc,d3fend_anterior_count,d3fend_candidato_count,d3fend_anterior,d3fend_candidato
24,﻿CU080_AD_Multiples_login_failure_single_source,"T1010 - Application Window Discovery, T1110 - Brute Force, T1110.003 - Password Spraying","T1010 - Application Window Discovery, T1110 - Brute Force, T1110.003 - Password Spraying",,20,17,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CCSA - Credential Compromise Scope Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSA - Process Spawn Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CCSA - Credential Compromise Scope Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
26,﻿CU082_Inconveniente_de_almacenamiento_de_auditoria_local,T1070 - Indicator Removal,T1070 - Indicator Removal,,12,0,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SBV - Service Binary Verification; D3-SFA - System File Analysis,
28,﻿CU084_CASB_Anomalous_Access_Location,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation","T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation",,11,10,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
29,﻿CU085_CASB_Superhuman,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation","T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation",,11,10,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
30,﻿CU086_Detecciones de ioc para el mismo usuario en bluecoat,T1189 - Drive-by Compromise,T1189 - Drive-by Compromise,,17,16,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis
36,﻿CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,"T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application","T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application",,14,12,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
37,﻿CU096_Multiple_Users_Connected_to_IOC_IP,T1566.002 - Spearphishing Link,T1566.002 - Spearphishing Link,,28,26,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-MA - Message Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-MA - Message Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis
38,﻿CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,"T1068 - Exploitation for Privilege Escalation, T1685 - Disable or Modify Tools","T1068 - Exploitation for Privilege Escalation, T1685 - Disable or Modify Tools",,6,5,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons
43,﻿CU107_Abnormal_System_Time_Change,T1070 - Indicator Removal,T1070 - Indicator Removal,,12,0,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SBV - Service Binary Verification; D3-SFA - System File Analysis,
44,﻿CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,"T1021.004 - SSH, T1133 - External Remote Services","T1021.004 - SSH, T1133 - External Remote Services",,10,9,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
46,﻿CU110_Unauthorized_user_with_DCSYNC_permission,"T1003.006 - DCSync, T1078 - Valid Accounts, T1548 - Abuse Elevation Control Mechanism","T1003.006 - DCSync, T1078 - Valid Accounts, T1548 - Abuse Elevation Control Mechanism",T1003.006,16,15,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
52,﻿CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,T1548.002 - Bypass User Account Control,"T1499 - Endpoint Denial of Service, T1548.002 - Bypass User Account Control",T1499,11,8,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis
54,﻿CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,"T1068 - Exploitation for Privilege Escalation, T1098 - Account Manipulation","T1068 - Exploitation for Privilege Escalation, T1098 - Account Manipulation",,6,5,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons
56,﻿CU125_WinRegistry_UACPolicy_Access,"T1012 - Query Registry, T1112 - Modify Registry, T1218 - System Binary Proxy Execution, T1547.001 - Registry Run Keys / Startup Folder, T1548 - Abuse Elevation Control Mechanism","T1012 - Query Registry, T1112 - Modify Registry, T1218 - System Binary Proxy Execution, T1547.001 - Registry Run Keys / Startup Folder, T1548 - Abuse Elevation Control Mechanism",T1112,12,10,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-SICA - System Init Config Analysis,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-SICA - System Init Config Analysis
57,﻿CU126_AD_Critics_Users_logon_without_passwordsafe_request,"T1078 - Valid Accounts, T1078.002 - Domain Accounts","T1078 - Valid Accounts, T1078.002 - Domain Accounts, T1556 - Modify Authentication Process, T1556.004 - Network Device Authentication",T1078; T1078.002; T1556; T1556.004,2,4,D3-DAM - Domain Account Monitoring; D3-UBA - User Behavior Analysis,D3-DAM - Domain Account Monitoring; D3-PLA - Process Lineage Analysis; D3-PSMD - Process Self-Modification Detection; D3-UBA - User Behavior Analysis
58,﻿CU128_FW_Forbidden_Connections_From_DMZ,"T1133 - External Remote Services, T1189 - Drive-by Compromise, T1190 - Exploit Public-Facing Application","T1021 - Remote Services, T1046 - Network Service Discovery, T1071.001 - Web Protocols, T1133 - External Remote Services, T1189 - Drive-by Compromise, T1190 - Exploit Public-Facing Application",T1021; T1046; T1071.001,20,27,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis
61,﻿CU133_EPO_Malware_Propagation_MultiHost,"T1105 - Ingress Tool Transfer, T1486 - Data Encrypted for Impact, T1570 - Lateral Tool Transfer","T1027 - Obfuscated Files or Information, T1070.004 - File Deletion, T1105 - Ingress Tool Transfer, T1486 - Data Encrypted for Impact, T1569.002 - Service Execution, T1570 - Lateral Tool Transfer",T1027; T1070.004; T1105; T1569.002,19,17,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
62,﻿CU134_Chroot_Command_Execution,T1059.004 - Unix Shell,"T1059.004 - Unix Shell, T1202 - Indirect Command Execution",T1059.004; T1202,0,0,,
63,﻿CU135_Weblogic_exploit,"T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application","T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application",,22,19,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
64,﻿CU136_NDR_single_source_multiple_destination,"T1018 - Remote System Discovery, T1046 - Network Service Discovery, T1595 - Active Scanning, T1595.001 - Scanning IP Blocks","T1018 - Remote System Discovery, T1021 - Remote Services, T1046 - Network Service Discovery, T1071 - Application Layer Protocol, T1595 - Active Scanning, T1595.001 - Scanning IP Blocks",T1021; T1046; T1071,22,23,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSA - Process Spawn Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OSM - Operating System Monitoring; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
65,﻿CU140_NDR_multiple_source_to_single_destination,T1595 - Active Scanning,"T1021 - Remote Services, T1046 - Network Service Discovery, T1071 - Application Layer Protocol, T1595 - Active Scanning",T1021; T1046; T1071,0,19,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
66,﻿CU141_NDR_Critical_Severity_Events_Detected,T1046 - Network Service Discovery,"T1021 - Remote Services, T1046 - Network Service Discovery, T1190 - Exploit Public-Facing Application",T1021; T1046; T1190,0,12,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis
67,﻿CU142_NDR_detection_in_DCs,T1548.002 - Bypass User Account Control,T1548.002 - Bypass User Account Control,,11,8,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis
