fila,identificador,decision,attack_anterior,attack_corregido,d3fend_anterior,d3fend_corregido,d3fend_excluido_anterior,d3fend_excluido_recalculado,d3fend_recomendado_no_inferido_por_catalogo,attack_deshabilitado_en_catalogo,motivo
11,[AUT][Public IP]CU138_F5_iControl_REST_Suspicious_Access,OK,"T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning","T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,T1595.002,Acceso externo a iControl REST /mgmt: explotacion/probing de aplicacion publica.
12,[AUT][Public IP]CU139_CHECKPOINT_iControl_REST_Suspicious_Access,AJUSTAR,T1190 - Exploit Public-Facing Application,"T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,T1595.002,Misma logica iControl REST; conviene sumar vulnerability scanning.
13,CU001_Unhandled_Threat,REVISAR,T1588.001 - Malware,T1204.002 - Malicious File,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,"Unhandled threat es senal de producto, no tecnica adversaria directa; T1204.002 solo si el evento confirma archivo malicioso ejecutado."
14,CU005_Vertical_Port_Scan,OK,"T1046 - Network Service Discovery, T1595 - Active Scanning","T1046 - Network Service Discovery, T1595 - Active Scanning",,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,"T1046, T1595",Escaneo vertical de puertos; mapping correcto.
15,CU006_Horizontal_Port_Scan,OK,"T1046 - Network Service Discovery, T1595 - Active Scanning","T1046 - Network Service Discovery, T1595 - Active Scanning",,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,"T1046, T1595",Escaneo horizontal de puertos; mapping correcto.
16,CU025_DPAPI_attributes_accessed,OK,"T1003 - OS Credential Dumping, T1003.006 - DCSync, T1555 - Credentials from Password Stores, T1555.004 - Windows Credential Manager","T1003 - OS Credential Dumping, T1003.006 - DCSync, T1555 - Credentials from Password Stores, T1555.004 - Windows Credential Manager",D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,T1555.004,Acceso a atributos DPAPI/DCSync/Mimikatz; credenciales y credential dumping.
17,CU045_CITRIX_Impossible_Travel,OK,T1078 - Valid Accounts,T1078 - Valid Accounts,,D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,Impossible travel en Citrix implica uso de cuenta valida desde ubicaciones anomalas.
18,CU049_Login_over_Tor_network,AJUSTAR,T1090 - Proxy,"T1078 - Valid Accounts, T1090.003 - Multi-hop Proxy",,D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection,D3-URA - URL Reputation Analysis,,Login VPN/VDI desde TOR: cuenta valida mas multi-hop proxy.
19,CU056_Multiple_critical_port_scan,AJUSTAR,T1595 - Active Scanning,"T1046 - Network Service Discovery, T1595 - Active Scanning",,D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,,D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,"T1046, T1595",Eventos criticos con port scan; agregar Network Service Discovery.
20,CU057_Multiple_critical_detection,REVISAR,"T1569.001 - Launchctl, T1569.002 - Service Execution, T1569.003 - Systemctl",T1204.002 - Malicious File,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,Multiples criticos EPO es alerta generica de AV; las tecnicas service execution actuales no estan sustentadas por la regla.
21,CU062_Abnormal_attempt_code_DC,AJUSTAR,T1087 - Account Discovery,"T1087.002 - Domain Account, T1110 - Brute Force",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,,D3-IAA - Identifier Activity Analysis,,"Errores poco comunes de login fallido en DC: enumeracion/brute force, no solo discovery generico."
22,CU063_Abnormal_attempt_Code,AJUSTAR,T1087 - Account Discovery,"T1087.002 - Domain Account, T1110 - Brute Force",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,,D3-IAA - Identifier Activity Analysis,,Misma logica desde host; enumeracion/brute force por codigos de error.
23,CU080_AD_Multiples_login_failure_single_source,AJUSTAR,"T1010 - Application Window Discovery, T1110 - Brute Force, T1110.003 - Password Spraying","T1110 - Brute Force, T1110.003 - Password Spraying",D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CCSA - Credential Compromise Scope Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSA - Process Spawn Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CCSA - Credential Compromise Scope Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,Multiples usuarios fallidos desde un origen: password spraying; T1010 no aplica.
24,CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,Multiples fallos para usuarios de grupo especifico; brute force/password guessing.
25,CU082_Inconveniente_de_almacenamiento_de_auditoria_local,AJUSTAR,T1070 - Indicator Removal,T1070.001 - Clear Windows Event Logs,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SBV - Service Binary Verification; D3-SFA - System File Analysis,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-OPM - Operational Process Monitoring,D3-OSM - Operating System Monitoring,,"Eventos Windows EventLog 1101/1104 apuntan a alteracion/limpieza de logs, mejor subtecnica Windows Event Logs."
