fila,identificador,nombre,decision,attack_actual,attack_recomendado,cambia_attack,d3fend_actual,d3fend_recomendado_semantico,cambia_d3fend,motivo
11,[AUT][Public IP]CU138_F5_iControl_REST_Suspicious_Access,[AUT][Public IP]CU138_F5_iControl_REST_Suspicious_Access,OK,"T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning","T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning",NO,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Acceso externo a iControl REST /mgmt: explotacion/probing de aplicacion publica.
12,[AUT][Public IP]CU139_CHECKPOINT_iControl_REST_Suspicious_Access,[AUT][Public IP]CU139_CHECKPOINT_iControl_REST_Suspicious_Access,AJUSTAR,T1190 - Exploit Public-Facing Application,"T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning",SI,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Misma logica iControl REST; conviene sumar vulnerability scanning.
13,CU001_Unhandled_Threat,CU001_Unhandled_Threat,REVISAR,T1588.001 - Malware,T1204.002 - Malicious File,SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,"Unhandled threat es senal de producto, no tecnica adversaria directa; T1204.002 solo si el evento confirma archivo malicioso ejecutado."
14,CU005_Vertical_Port_Scan,CU005_Vertical_Port_Scan,OK,"T1046 - Network Service Discovery, T1595 - Active Scanning","T1046 - Network Service Discovery, T1595 - Active Scanning",NO,,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Escaneo vertical de puertos; mapping correcto.
15,CU006_Horizontal_Port_Scan,CU006_Horizontal_Port_Scan,OK,"T1046 - Network Service Discovery, T1595 - Active Scanning","T1046 - Network Service Discovery, T1595 - Active Scanning",NO,,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Escaneo horizontal de puertos; mapping correcto.
16,CU025_DPAPI_attributes_accessed,CU025_DPAPI_attributes_accessed,OK,"T1003 - OS Credential Dumping, T1003.006 - DCSync, T1555 - Credentials from Password Stores, T1555.004 - Windows Credential Manager","T1003 - OS Credential Dumping, T1003.006 - DCSync, T1555 - Credentials from Password Stores, T1555.004 - Windows Credential Manager",NO,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,SI,Acceso a atributos DPAPI/DCSync/Mimikatz; credenciales y credential dumping.
17,CU045_CITRIX_Impossible_Travel,CU045_CITRIX_Impossible_Travel,OK,T1078 - Valid Accounts,T1078 - Valid Accounts,NO,,D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,SI,Impossible travel en Citrix implica uso de cuenta valida desde ubicaciones anomalas.
18,CU049_Login_over_Tor_network,CU049_Login_over_Tor_network,AJUSTAR,T1090 - Proxy,"T1078 - Valid Accounts, T1090.003 - Multi-hop Proxy",SI,,D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,SI,Login VPN/VDI desde TOR: cuenta valida mas multi-hop proxy.
19,CU056_Multiple_critical_port_scan,CU056_Multiple_critical_port_scan,AJUSTAR,T1595 - Active Scanning,"T1046 - Network Service Discovery, T1595 - Active Scanning",SI,,D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Eventos criticos con port scan; agregar Network Service Discovery.
20,CU057_Multiple_critical_detection,CU057_Multiple_critical_detection,REVISAR,"T1569.001 - Launchctl, T1569.002 - Service Execution, T1569.003 - Systemctl",T1204.002 - Malicious File,SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,Multiples criticos EPO es alerta generica de AV; las tecnicas service execution actuales no estan sustentadas por la regla.
21,CU062_Abnormal_attempt_code_DC,CU062_Abnormal_attempt_code_DC,AJUSTAR,T1087 - Account Discovery,"T1087.002 - Domain Account, T1110 - Brute Force",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,"Errores poco comunes de login fallido en DC: enumeracion/brute force, no solo discovery generico."
22,CU063_Abnormal_attempt_Code,CU063_Abnormal_attempt_Code,AJUSTAR,T1087 - Account Discovery,"T1087.002 - Domain Account, T1110 - Brute Force",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Misma logica desde host; enumeracion/brute force por codigos de error.
23,CU080_AD_Multiples_login_failure_single_source,CU080_AD_Multiples_login_failure_single_source,AJUSTAR,"T1010 - Application Window Discovery, T1110 - Brute Force, T1110.003 - Password Spraying","T1110 - Brute Force, T1110.003 - Password Spraying",SI,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CCSA - Credential Compromise Scope Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSA - Process Spawn Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SCA - System Call Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Multiples usuarios fallidos desde un origen: password spraying; T1010 no aplica.
24,CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,CU081_Multiples_autenticaciones_fallidas_usuarios_grupo_PSONLOUsers,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Multiples fallos para usuarios de grupo especifico; brute force/password guessing.
25,CU082_Inconveniente_de_almacenamiento_de_auditoria_local,CU082_Inconveniente_de_almacenamiento_de_auditoria_local,AJUSTAR,T1070 - Indicator Removal,T1070.001 - Clear Windows Event Logs,SI,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SBV - Service Binary Verification; D3-SFA - System File Analysis,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring,SI,"Eventos Windows EventLog 1101/1104 apuntan a alteracion/limpieza de logs, mejor subtecnica Windows Event Logs."
26,CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,REVISAR,T1587.001 - Malware,T1204.002 - Malicious File,SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,"Reputacion de proceso malicioso EDR; T1587.001 Malware es desarrollo de capacidades, no ejecucion/deteccion en endpoint."
27,CU084_CASB_Anomalous_Access_Location,CU084_CASB_Anomalous_Access_Location,AJUSTAR,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation","T1078 - Valid Accounts, T1078.004 - Cloud Accounts",SI,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,SI,CASB anomalous location: cuenta cloud valida con ubicacion anomala; no hay account manipulation.
28,CU085_CASB_Superhuman,CU085_CASB_Superhuman,AJUSTAR,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation","T1078 - Valid Accounts, T1078.004 - Cloud Accounts",SI,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,SI,CASB superhuman/impossible travel: uso de cuenta cloud valida; no account manipulation.
29,CU086_Detecciones de ioc para el mismo usuario en bluecoat,CU086_Detecciones de ioc para el mismo usuario en bluecoat,AJUSTAR,T1189 - Drive-by Compromise,"T1071.001 - Web Protocols, T1189 - Drive-by Compromise, T1204.001 - Malicious Link",SI,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-UA - URL Analysis; D3-URA - URL Reputation Analysis; D3-APCA - Application Protocol Command Analysis,SI,Usuario navegando a IOC; puede ser drive-by/malicious link o C2 web segun contexto.
30,CU088_LockedAccounts,CU088_LockedAccounts,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Bloqueo masivo de cuentas AD por eventos 4740; fuerza bruta/password guessing.
31,CU089_SWIFT Alliance Brute Force,CU089_SWIFT Alliance Brute Force,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",SI,,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,SWIFT logins no exitosos por usuario; brute force/password guessing.
32,CU090_SWIFT Integrity Compromised,CU090_SWIFT Integrity Compromised,AJUSTAR,"T1565 - Data Manipulation, T1657 - Financial Theft",T1565 - Data Manipulation,SI,,D3-FIM - File Integrity Monitoring; D3-FCOA - File Content Analysis; D3-OSM - Operating System Monitoring,SI,"Errores de integridad SWIFT son data manipulation/integridad; financial theft es objetivo posible, no evidencia directa."
33,CU091_EPO_FILE_Not_Deleted,CU091_EPO_FILE_Not_Deleted,REVISAR,T1587.001 - Malware,T1204.002 - Malicious File,SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,EPO file not deleted indica archivo malicioso no remediado; T1587.001 no aplica.
34,CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,AJUSTAR,"T1078 - Valid Accounts, T1133 - External Remote Services","T1071 - Application Layer Protocol, T1071.001 - Web Protocols",SI,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-URA - URL Reputation Analysis,SI,Conexiones permitidas con IOC; T1078/T1133 no se ve en la logica.
35,CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,OK,"T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application","T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application",NO,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,SI,"Intentos de autenticacion desde TOR/Log4j; proxy multi-hop, servicio remoto y explotacion publica."
